"Days Inn by Wyndham Toronto West Mississauga, Mississauga",HOTEL,$114 CAD,,See all 672 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.626422', '-79.629361']"
"Days Inn by Wyndham Toronto East Beaches, Toronto",HOTEL,$142 CAD,,See all 548 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.667179', '-79.313069']"
"Best Western Parkway Hotel Toronto North, Richmond Hill",HOTEL,$90 CAD,,See all 620 Hotels.com reviews,Fabulous8.6,"1 room, 1 adult","['43.846', '-79.38276']"
"Delta Hotels by Marriott Toronto East, Toronto",HOTEL,$131 CAD,,,,"1 room, 1 adult","['43.777737', '-79.283282']"
"Days Inn by Wyndham Toronto East Lakeview, Toronto",HOTEL,$94 CAD,,See all 647 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.701317', '-79.254286']"
"Holiday Inn Toronto - Int'l Airport, Toronto",HOTEL,$110 CAD,,"See all 1,049 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.687025', '-79.599619']"
"Knights Inn Toronto East, Toronto",HOTEL,$89 CAD,,See all 424 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.768815', '-79.301076']"
"Quality Inn Airport West, Mississauga",HOTEL,$99 CAD,,See all 402 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.627349', '-79.678353']"
"Bond Place Hotel, Toronto",HOTEL,$139 CAD,,"See all 2,492 Hotels.com reviews",Good7.0,"1 room, 1 adult","['43.656244', '-79.378298']"
"Courtyard by Marriott Toronto Northeast/Markham, Markham",HOTEL,$103 CAD,,See all 560 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.816428', '-79.349294']"
"Holiday Inn Toronto Yorkdale, Toronto",HOTEL,$162 CAD,,See all 566 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.726553', '-79.460101']"
"Courtyard by Marriott Downtown Toronto, Toronto",HOTEL,$170 CAD,,"See all 1,746 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.662218', '-79.382537']"
"Sheraton Gateway Hotel In Toronto International Airport, Mississauga",HOTEL,$188 CAD,,"See all 1,703 Hotels.com reviews",Good7.6,"1 room, 1 adult","['43.686334', '-79.620642']"
"InterContinental Toronto Centre, Toronto",HOTEL,$162 CAD,,"See all 1,618 Hotels.com reviews",10.0,"1 room, 1 adult","['43.644654', '-79.385548']"
"Holiday Inn Mississauga Toronto West, Mississauga",HOTEL,$115 CAD,,See all 168 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.628551', '-79.676728']"
"Holiday Inn Express & Suites Mississauga-Toronto Southwest, Mississauga",HOTEL,$103 CAD,,See all 439 Hotels.com reviews,Fabulous8.6,"1 room, 1 adult","['43.523403', '-79.650317']"
"Pearson Hotel and Conference Centre Toronto Airport, Toronto",HOTEL,$107 CAD,,"See all 2,164 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.699706', '-79.585279']"
"Hilton Toronto/Markham Suites Conference Centre & Spa, Markham",HOTEL,$131 CAD,,"See all 1,429 Hotels.com reviews",Fabulous8.8,"1 room, 1 adult","['43.853309', '-79.334129']"
"Ramada Plaza by Wyndham Toronto Downtown, Toronto",HOTEL,$145 CAD,,"See all 1,742 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.661506', '-79.376319']"
