Luxurious Condo near CN Tower with FREE PARKING,Toronto,$150,449 reviews,4.80,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n809 Reviews', '\U000f0019\nVerified']"
*City View Studio 3 mins to University and Subway*,Toronto,$99,41 reviews,4.95,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n41 Reviews', '\U000f0019\nVerified']"
"Chic, Modern condo downtown by Scotiabank Arena!",Toronto,$55,105 reviews,4.62,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n543 Reviews', '\U000f0019\nVerified']"
Cozy 1 bedroom apartment (2 beds) close to subway.,Toronto,$51,505 reviews,4.79,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n505 Reviews', '\U000f0019\nVerified']"
High Floor | Balcony | Fast WiFi | ❤️ of Downtown,Toronto,$105,316 reviews,4.85,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n479 Reviews', '\U000f0019\nVerified']"
"Cozy, Private Studio Flat 21 min to downtown by GO",Toronto,$70,381 reviews,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n730 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Designer penthouse loft w sunset balcony (King W),Toronto,$125,356 reviews,4.94,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n377 Reviews', '\U000f0019\nVerified']"
,Tour this apartment,,311 reviews,,[]
Million dollar view!,Toronto,$79,380 reviews,4.77,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n881 Reviews', '\U000f0019\nVerified']"
Studio Yellow at Downtown Core,Toronto,$82,379 reviews,4.46,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
TORONTO’s Airbnb unit of the year.,Toronto,$99,254 reviews,4.68,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n254 Reviews', '\U000f0019\nVerified']"
"Downtown -- Quiet, Luxury Room",Toronto,$55,476 reviews,4.94,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1857 Reviews', '\U000f0019\nVerified']"
"SUNNY DBL CORKTOWN BREAKFAST, 2 BIKES INCL.",Toronto,$60,762 reviews,4.81,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n762 Reviews', '\U000f0019\nVerified']"
Basement Guest Suite in Toronto's Annex Area,Toronto,$85,90 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n90 Reviews', '\U000f0019\nVerified']"
Studio RED,Toronto,$61,345 reviews,4.29,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Luxury Suite in Toronto's Entertainment District,Toronto,$120,756 reviews,4.89,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n756 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Japan Inspired Studio Apartment,Toronto,$76,391 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Downtown Entertainment District! Great City View!,Toronto,$93,433 reviews,4.64,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n647 Reviews', '\U000f0019\nVerified']"
Retro 1 bedroom apartment at downtown core,Toronto,$75,371 reviews,4.34,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
High Floor |Balcony | Lake View | 100% Walk | PATH,Toronto,$99,210 reviews,4.57,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n719 Reviews', '\U000f0019\nVerified']"
Beautiful Clean Apartment in Downtown TO,Toronto,$25,204 reviews,4.87,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']"
Modern Waterfront Studio in Downtown Toronto,Toronto,$62,103 reviews,4.48,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n543 Reviews', '\U000f0019\nVerified']"
Elegant Modern Condo in Downtown Toronto,Toronto,$100,268 reviews,4.51,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n349 Reviews', '\U000f0019\nVerified']"
Beautiful condo near Rogers Centre + Free Parking!,Toronto,$75,132 reviews,4.77,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n543 Reviews', '\U000f0019\nVerified']"
Luxury 2bd+2bth in the Heart of Downtown!,Toronto,$106,307 reviews,4.87,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n307 Reviews', '\U000f0019\nVerified']"
Studio Orange Pillows,Toronto,$78,363 reviews,4.35,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Corky loft with skylight at Downtown Central,Toronto,$63,253 reviews,4.12,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7975 Reviews', '\U000f0019\nVerified']"
Couple's Cozy home in downtown Toronto w/ Parking,Toronto,$96,380 reviews,4.55,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n811 Reviews', '\U000f0019\nVerified']"
