house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
*City View Studio 3 mins to University and Subway*,Entire home,Toronto,$99 ,41 reviews,4.95,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n41 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Chic, Modern condo downtown by Scotiabank Arena!",Entire home,Toronto,$58 ,106 reviews,4.6,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n547 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
High Floor | Balcony | Fast WiFi | ❤️ of Downtown,Entire home,Toronto,$100 ,316 reviews,4.85,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n480 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy 1 bedroom apartment (2 beds) close to subway.,Entire home,Toronto,$54 ,505 reviews,4.79,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n505 Reviews', '\U000f0019\nVerified']","['Kitchen', 'Laptop-friendly workspace', 'TV', 'Iron', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Cozy, Private Studio Flat 21 min to downtown by GO",Entire home,Toronto,$70 ,382 reviews,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio Yellow at Downtown Core,Entire home,Toronto,$79 ,379 reviews,4.46,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
,,Tour this apartment,,311 reviews,,[],[]
Basement Guest Suite in Toronto's Annex Area,Entire home,Toronto,$85 ,90 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n90 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Japan Inspired Studio Apartment,Entire home,Toronto,$72 ,392 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Retro 1 bedroom apartment at downtown core,Entire home,Toronto,$74 ,371 reviews,4.34,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
"SUNNY DBL CORKTOWN BREAKFAST, 2 BIKES INCL.",Sean is a Superhost,Toronto,$60 ,762 reviews,4.81,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n762 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Designer penthouse loft w sunset balcony (King W),Entire home,Toronto,$125 ,356 reviews,4.94,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n377 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
TORONTO’s Airbnb unit of the year.,Entire home,Toronto,$99 ,254 reviews,4.68,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n254 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
Room cozy fuzz - Little Italy,Sparkling clean,Toronto,$47 ,320 reviews,4.48,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Downtown Entertainment District! Great City View!,Entire home,Toronto,$93 ,434 reviews,4.64,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n648 Reviews', '\U000f0019\nVerified']","['Elevator', 'Breakfast', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Waterfront Studio in Downtown Toronto,Entire home,Toronto,$62 ,103 reviews,4.48,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n547 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio Orange Pillows,Entire home,Toronto,$78 ,363 reviews,4.35,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Elegant Modern Condo in Downtown Toronto,Entire home,Toronto,$100 ,271 reviews,4.52,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n353 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio RED,Entire home,Toronto,$66 ,346 reviews,4.29,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Beautiful condo near Rogers Centre + Free Parking!,Entire home,Toronto,$75 ,133 reviews,4.77,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n547 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Corky loft with skylight at Downtown Central,Entire home,Toronto,$64 ,254 reviews,4.11,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Room Wave. with Private Washroom - Little Italy,Sparkling clean,Toronto,$56 ,284 reviews,4.49,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio Symmetric,Entire home,Toronto,$74 ,368 reviews,4.48,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxury 2bd+2bth in the Heart of Downtown!,Entire home,Toronto,$105 ,307 reviews,4.87,"['5 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n307 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Hidden Gem in Trendy Roncesvalles/Parkdale,Entire home,Toronto,$40 ,195 reviews,4.82,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n206 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'TV', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxurious penthouse duplex - Downtown Central,Entire home,Toronto,$119 ,250 reviews,4.29,"['8 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Beautiful Clean Apartment in Downtown TO,Great check-in experience,Toronto,$29 ,204 reviews,4.87,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Gym', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxury Suite in Toronto's Entertainment District,Entire home,Toronto,$126 ,757 reviews,4.89,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n757 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Room Comfy Knit - Little Italy,,Toronto,$43 ,243 reviews,4.36,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Plant Paradise Loft: Cozy Sunny Dream Space!,Entire home,Toronto,$150 ,287 reviews,4.85,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n350 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Studio Urban,Entire home,Toronto,$76 ,265 reviews,4.37,"['6 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Near CN Tower | Luxury Condo| One bedroom| Lounge,Entire home,Toronto,$69 ,219 reviews,4.78,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n348 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Bright, Clean & Tidy!",Entire home,Toronto,$95 ,393 reviews,4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n754 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Room Fancy Red w/ Private Bath - Downtown Central,Sparkling clean,Toronto,$68 ,377 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
Couple's Cozy home in downtown Toronto w/ Parking,Entire home,Toronto,$96 ,380 reviews,4.55,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n812 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
"The Nook,free parking,steps to GO station & Subway",Entire home,Toronto,$50 ,183 reviews,4.84,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n183 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Breakfast', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Clean Room Single Bed Downtown Center,Max is a Superhost,Toronto,$23 ,251 reviews,4.79,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']","['Kitchen', 'Laptop-friendly workspace', 'Iron', 'Dryer', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private 1BD/1BR★Subway Nearby★Free Parking★Laundry,Entire home,Toronto,$70 ,101 reviews,4.79,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n101 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
Paradise Downtown Toronto,Entire home,Toronto,$59 ,407 reviews,4.7,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n944 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Downtown hotel style studio w/parking/ 6 ppl max,Entire home,Toronto,$40 ,259 reviews,4.34,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n1888 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Room Fresh Blue - Little Italy,Sparkling clean,Toronto,$40 ,238 reviews,4.35,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n7985 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy and Hip Home for Rental,Entire home,Toronto,$75 ,449 reviews,4.9,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n449 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Indoor fireplace', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
King suite in the heart of downtown Toronto,Entire home,Toronto,$109 ,183 reviews,4.7,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n186 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
