,,,,,,[],[]
*City View Studio 3 mins to University and Subway*,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,41 reviews,4.95,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n41 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
"Cozy, Private Studio Flat 21 min to downtown by GO","󱀁
Entire home
You’ll have the guesthouse to yourself.",Toronto,,,4.89,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool']"
"Chic, Modern condo downtown by Scotiabank Arena!","󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,,,4.61,"['4 guests', '1 bedroom', '1 bed', '1 bath']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Designer penthouse loft w sunset balcony (King W),"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$95,356 reviews,4.94,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n377 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
Cozy 1 bedroom apartment (2 beds) close to subway.,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$55,508 reviews,4.79,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n508 Reviews', '\U000f0019\nVerified']","['Kitchen', 'Laptop-friendly workspace', 'TV', 'Iron', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
Studio Yellow at Downtown Core,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$71,380 reviews,4.46,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
High Floor | Balcony | Fast WiFi | ❤️ of Downtown,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$100,316 reviews,4.85,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n480 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub']"
Japan Inspired Studio Apartment,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$65,393 reviews,4.37,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Private Downtown Center Room/Clean/Quiet,"󰀢
Sparkling clean
11 recent guests said this place was sparkling clean.",Toronto,$22,244 reviews,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n722 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Basement Guest Suite in Toronto's Annex Area,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$85,90 reviews,4.92,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n90 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'Laptop-friendly workspace']"
Corky loft with skylight at Downtown Central,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$59,255 reviews,4.11,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Downtown -- Quiet, Luxury Room","󰀢
Sparkling clean
12 recent guests said this place was sparkling clean.",Toronto,$56,477 reviews,4.94,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1859 Reviews', '\U000f0019\nVerified']","['Wifi', 'Cable TV', 'Laptop-friendly workspace', 'TV']"
Million dollar view!,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$79,382 reviews,4.76,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n883 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
"10% off, Modern, 15' Airport, York uni, Yorkdale","󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$19,91 reviews,4.82,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n248 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Beautiful, Bright Apt. with free parking","󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$65,349 reviews,4.90,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool']"
Luxurious Condo near CN Tower with FREE PARKING,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$113,451 reviews,4.80,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n813 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Downtown Entertainment District! Great City View!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$93,435 reviews,4.64,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n649 Reviews', '\U000f0019\nVerified']","['Elevator', 'Breakfast', 'Wifi', 'Kitchen']"
"SUNNY DBL CORKTOWN BREAKFAST, 2 BIKES INCL.","󰀢
Sparkling clean
11 recent guests said this place was sparkling clean.",Toronto,$60,762 reviews,4.81,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n762 Reviews', '\U000f0019\nVerified']","['Breakfast', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Retro 1 bedroom apartment at downtown core,"󱀁
Entire home
You’ll have the serviced apartment to yourself.",Toronto,$76,373 reviews,4.33,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
Room Wave. with Private Washroom - Little Italy,"󰄄
Self check-in
Check yourself in with the keypad.",Toronto,$55,286 reviews,4.49,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Beautiful condo near Rogers Centre + Free Parking!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$75,136 reviews,4.76,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen']"
Modern Waterfront Studio in Downtown Toronto,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$62,103 reviews,4.48,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Luxurious penthouse duplex - Downtown Central,"󱀁
Entire home
You’ll have the loft to yourself.",Toronto,$116,251 reviews,4.29,"['8 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n7997 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
"Bright, Clean & Tidy!","󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$85,394 reviews,4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n756 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector']"
